[d=11 shard 5/7] 510000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7641s
[d=11 shard 5/7] 515000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7681s
[d=11 shard 5/7] 520000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7723s
[d=11 shard 5/7] 525000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7766s
[d=11 shard 5/7] 530000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7808s
[d=11 shard 5/7] 535000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7848s
[d=11 shard 5/7] 540000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7891s
[d=11 shard 5/7] 545000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7933s
[d=11 shard 5/7] 550000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 7976s
[d=11 shard 5/7] 555000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8020s
[d=11 shard 5/7] 560000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8061s
[d=11 shard 5/7] 565000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8104s
[d=11 shard 5/7] 570000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8146s
[d=11 shard 5/7] 575000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8187s
[d=11 shard 5/7] 580000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8227s
[d=11 shard 5/7] 585000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8275s
[d=11 shard 5/7] 590000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8323s
[d=11 shard 5/7] 595000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8369s
[d=11 shard 5/7] 600000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8413s
[d=11 shard 5/7] 605000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8458s
[d=11 shard 5/7] 610000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8504s
[d=11 shard 5/7] 615000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8547s
[d=11 shard 5/7] 620000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8592s
[d=11 shard 5/7] 625000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8634s
[d=11 shard 5/7] 630000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 8679s
[d=11 shard 5/7] done. completed_full_enum=True. See /Users/yugendren/experiments/four_color_digestion/results/nl4ct-differential/report_d11_shard5of7.json
